iter	Passed	Remaining
0	1	139
1	2	126
2	3	119
3	4	110
4	5	109
5	7	109
6	8	107
7	9	106
8	10	105
9	11	104
10	12	103
11	13	102
12	15	101
13	16	99
14	17	98
15	18	97
16	19	95
17	20	94
18	21	93
19	23	92
20	24	90
21	25	89
22	26	88
23	27	87
24	28	86
25	30	85
26	31	84
27	32	83
28	33	81
29	34	81
30	35	79
31	36	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	44	71
38	45	70
39	46	69
40	47	68
41	47	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	51
55	63	50
56	65	49
57	66	47
58	67	46
59	68	45
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	39
66	77	37
67	78	36
68	79	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	112	22
83	115	22
84	118	20
85	121	19
86	123	18
87	126	17
88	128	15
89	130	14
90	131	13
91	133	11
92	134	10
93	136	8
94	137	7
95	139	5
96	140	4
97	141	2
98	142	1
99	144	0
