iter	Passed	Remaining
0	186	186059
1	189	94331
2	192	64013
3	194	48553
4	198	39404
5	199	33086
6	202	28720
7	205	25438
8	206	22745
9	208	20596
10	209	18834
11	210	17347
12	211	16081
13	214	15103
14	219	14388
15	220	13556
16	221	12828
17	223	12166
18	224	11569
19	225	11029
20	226	10543
21	227	10108
22	228	9703
23	229	9335
24	235	9177
25	236	8856
26	237	8556
27	238	8279
28	239	8029
29	240	7788
30	241	7559
31	242	7343
32	243	7141
33	244	6960
34	246	6807
35	248	6652
36	249	6491
37	250	6340
38	251	6194
39	252	6058
40	253	5926
41	254	5802
42	255	5687
43	256	5574
44	257	5464
45	260	5411
46	261	5310
47	262	5215
48	263	5120
49	264	5030
50	265	4945
51	266	4861
52	267	4779
53	268	4701
54	269	4626
55	270	4553
56	270	4482
57	271	4415
58	272	4350
59	273	4290
60	274	4231
61	275	4172
62	276	4117
63	277	4062
64	278	4008
65	279	3955
66	280	3904
67	281	3854
68	282	3808
69	283	3762
70	284	3716
71	284	3672
72	285	3629
73	286	3588
74	287	3551
75	289	3516
76	290	3477
77	290	3439
78	291	3402
79	292	3366
80	293	3331
81	294	3296
82	294	3258
83	295	3226
84	296	3194
85	297	3162
86	298	3131
87	299	3102
88	300	3074
89	301	3045
90	302	3019
91	303	2994
92	304	2968
93	305	2942
94	306	2918
95	307	2893
96	308	2868
97	309	2844
98	309	2820
99	310	2796
100	311	2774
101	312	2752
102	313	2730
103	314	2708
104	315	2686
105	316	2665
106	317	2649
107	318	2630
108	319	2610
109	320	2591
110	321	2572
111	322	2554
112	323	2535
113	323	2517
114	324	2500
115	325	2483
116	326	2466
117	327	2450
118	328	2434
119	329	2418
120	331	2406
121	332	2391
122	333	2376
123	334	2360
124	335	2345
125	335	2329
126	336	2313
127	337	2299
128	338	2285
129	339	2271
130	340	2256
131	341	2242
132	342	2229
133	342	2216
134	343	2202
135	344	2191
136	346	2180
137	347	2168
138	347	2155
139	348	2142
140	349	2130
141	350	2116
142	351	2105
143	352	2093
144	353	2084
145	354	2072
146	355	2061
147	356	2049
148	356	2038
149	357	2027
150	358	2016
151	359	2006
152	360	1996
153	361	1985
154	362	1975
155	363	1964
156	364	1954
157	364	1944
158	365	1934
159	366	1926
160	367	1915
161	368	1906
162	369	1897
163	370	1887
164	371	1878
165	372	1869
166	372	1859
167	374	1852
168	375	1845
169	376	1836
170	377	1828
171	377	1819
172	378	1810
173	379	1802
174	380	1794
175	381	1786
176	382	1778
177	383	1770
178	384	1761
179	385	1754
180	386	1747
181	386	1739
182	388	1732
183	389	1725
184	390	1718
185	391	1711
186	392	1704
187	393	1697
188	394	1692
189	395	1685
190	396	1678
191	397	1672
192	398	1666
193	399	1660
194	400	1653
195	401	1646
196	403	1643
197	404	1636
198	405	1630
199	405	1623
200	406	1617
201	407	1610
202	408	1604
203	409	1597
204	410	1591
205	411	1584
206	412	1578
207	412	1571
208	413	1565
209	414	1559
210	415	1553
211	416	1547
212	417	1543
213	419	1539
214	420	1533
215	421	1528
216	421	1522
217	422	1516
218	423	1510
219	424	1505
220	425	1500
221	426	1494
222	427	1489
223	428	1483
224	429	1477
225	429	1472
226	431	1467
227	432	1463
228	433	1458
229	434	1453
230	435	1448
231	435	1443
232	436	1438
233	437	1432
234	438	1427
235	439	1422
236	440	1417
237	441	1412
238	441	1407
239	442	1402
240	443	1397
241	444	1392
242	445	1388
243	446	1384
244	447	1379
245	448	1374
246	449	1369
247	450	1365
248	451	1360
249	451	1355
250	452	1351
251	453	1347
252	454	1343
253	455	1338
254	456	1334
255	457	1329
256	458	1325
257	460	1323
258	461	1319
259	462	1315
260	463	1311
261	463	1306
262	464	1302
263	465	1298
264	466	1294
265	467	1290
266	468	1286
267	469	1282
268	471	1280
269	472	1277
270	474	1275
271	475	1271
272	476	1267
273	477	1264
274	478	1260
275	479	1256
276	480	1253
277	481	1249
278	482	1245
279	483	1242
280	484	1239
281	485	1235
282	486	1232
283	488	1231
284	489	1228
285	490	1225
286	491	1221
287	492	1218
288	494	1215
289	495	1212
290	496	1208
291	496	1204
292	497	1201
293	499	1198
294	500	1195
295	501	1192
296	502	1190
297	504	1187
298	505	1184
299	506	1180
300	507	1177
301	507	1173
302	508	1170
303	509	1166
304	510	1163
305	511	1159
306	512	1156
307	513	1153
308	514	1150
309	515	1147
310	517	1145
311	518	1142
312	519	1140
313	520	1136
314	521	1133
315	522	1131
316	523	1128
317	524	1125
318	525	1121
319	526	1118
320	527	1115
321	528	1112
322	528	1108
323	529	1105
324	531	1103
325	532	1100
326	533	1097
327	534	1094
328	535	1091
329	536	1088
330	536	1085
331	537	1082
332	538	1079
333	539	1076
334	540	1073
335	541	1069
336	542	1066
337	542	1063
338	544	1061
339	545	1059
340	546	1056
341	547	1053
342	548	1050
343	549	1047
344	550	1044
345	551	1041
346	552	1039
347	552	1036
348	553	1032
349	554	1029
350	555	1027
351	556	1024
352	557	1021
353	558	1018
354	559	1016
355	560	1014
356	561	1011
357	562	1008
358	563	1006
359	564	1003
360	565	1000
361	566	997
362	567	995
363	567	992
364	568	989
365	569	986
366	570	984
367	571	981
368	572	978
369	575	979
370	576	977
371	577	974
372	578	971
373	579	969
374	580	967
375	581	964
376	582	961
377	582	959
378	583	956
379	584	953
380	585	951
381	586	948
382	587	946
383	589	944
384	590	942
385	591	940
386	592	938
387	593	936
388	594	934
389	595	931
390	596	929
391	597	926
392	598	924
393	599	921
394	600	919
395	601	916
396	602	915
397	603	913
398	604	910
399	605	908
400	606	906
401	608	904
402	609	902
403	610	899
404	610	897
405	611	895
406	612	892
407	613	890
408	614	887
409	615	885
410	616	883
411	617	881
412	618	879
413	619	876
414	620	874
415	621	872
416	622	869
417	623	867
418	624	865
419	624	862
420	625	860
421	626	858
422	627	856
423	628	853
424	629	851
425	630	849
426	632	848
427	633	846
428	633	843
429	634	841
430	635	839
431	636	837
432	637	835
433	638	832
434	639	830
435	640	828
436	641	826
437	642	824
438	643	821
439	644	819
440	645	818
